,rating,rating
,size,mean
name,,
Death Note,20583,8.348297138415196
Sword Art Online,14704,7.665057127312296
Shingeki no Kyojin,14379,8.122957090200988
Elfen Lied,13350,7.598876404494382
Angel Beats!,12634,8.105192338135192
Code Geass: Hangyaku no Lelouch,12184,8.418253447143796
Sen to Chihiro no Kamikakushi,11608,8.23828394210889
Naruto,11282,7.3985109023222835
Fullmetal Alchemist,11162,7.94803798602401
Toradora!,10491,8.092650843580211
Fullmetal Alchemist: Brotherhood,10455,8.833381157340986
Code Geass: Hangyaku no Lelouch R2,10101,8.588060588060587
Mirai Nikki (TV),9778,7.822663121292698
Clannad,9536,8.063338926174497
Another,8976,7.535762032085562
Howl no Ugoku Shiro,8580,8.062004662004663
Ao no Exorcist,8539,7.602529570207285
Soul Eater,7980,7.764912280701754
Steins;Gate,7837,8.87546254944494
Tokyo Ghoul,7801,7.488270734521215
Suzumiya Haruhi no Yuuutsu,7776,7.6958590534979425
Tengen Toppa Gurren Lagann,7753,8.579001676770282
Mononoke Hime,7649,8.02483984834619
Clannad: After Story,7578,8.692926893639482
Neon Genesis Evangelion,7566,7.898096748612213
Mahou Shoujo MadokaâMagica,7343,8.096690725861365
Kuroshitsuji,7238,7.681541862392926
Durarara!!,7105,7.927797325826883
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,6924,8.271374927787406
K-On!,6760,7.449260355029586
Cowboy Bebop,6663,8.470508779828906
Vampire Knight,6651,7.12283867087656
Deadman Wonderland,6530,7.103062787136294
Tonari no Totoro,6330,7.69652448657188
Kaichou wa Maid-sama!,6267,7.720759534067337
Dragon Ball Z,6102,7.6342182890855455
Byousoku 5 Centimeter,6086,7.689122576404864
FLCL,5707,7.587173646399159
Bakemonogatari,5695,7.94468832309043
Hellsing,5651,7.246151123694921
Darker than Black: Kuro no Keiyakusha,5554,7.8642419877565715
Noragami,5512,7.519956458635704
Samurai Champloo,5508,8.194444444444445
Kill la Kill,5505,7.790372388737511
Toki wo Kakeru Shoujo,5340,7.892322097378277
Higurashi no Naku Koro ni,5275,7.9340284360189575
Fruits Basket,5220,7.386590038314176
Sword Art Online II,5209,7.018621616433096
Chuunibyou demo Koi ga Shitai!,5135,7.5688412852969815
Guilty Crown,4986,7.6389891696750905
Ore no Imouto ga Konnani Kawaii Wake ga Nai,4919,7.080097580809108
Psycho-Pass,4865,8.025282631038026
