name,rating|size,rating|mean
.hack//Sign,1255,6.945816733067729
07-Ghost,1298,7.238828967642527
Aa! Megami-sama! (TV),1271,7.082612116443745
Accel World,3325,7.3702255639097745
Acchi Kocchi (TV),1175,7.113191489361702
Afro Samurai,2343,7.038412291933419
Air,3181,7.2719270669600755
Akame ga Kill!,4629,7.51198963058976
Akatsuki no Yona,1329,7.705041384499624
Akira,4151,7.580342086244278
Aldnoah.Zero,2091,7.284074605451937
Aldnoah.Zero 2nd Season,1131,6.870910698496905
Amagami SS,1313,7.282559025133282
Amagi Brilliant Park,1713,7.126094570928196
Amnesia,1769,6.144714527981911
Angel Beats!,12634,8.105192338135192
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,6924,8.271374927787406
Ano Natsu de Matteru,1608,7.452114427860696
Another,8976,7.535762032085562
Another: The Other - Inga,1492,6.554289544235925
Ansatsu Kyoushitsu (TV),1641,7.465569774527727
Ao Haru Ride,2351,7.206720544449171
Ao no Exorcist,8539,7.602529570207285
Ao no Exorcist Movie,1180,6.973728813559322
Arakawa Under the Bridge,1268,7.340694006309148
Azumanga Daioh,2579,7.778596355176425
Baccano!,3828,8.200626959247648
Baka to Test to Shoukanjuu,4157,7.395718065912918
Baka to Test to Shoukanjuu Ni!,2304,7.462673611111111
Bakemonogatari,5695,7.94468832309043
Bakuman.,2199,7.731241473396999
Bakuman. 2nd Season,1347,7.987379361544172
Barakamon,1716,7.919580419580419
Beck,1745,8.187392550143267
Beelzebub,1206,7.615257048092869
Ben-To,1205,7.127800829875519
Berserk,2417,8.007447248655359
Bishoujo Senshi Sailor Moon,2852,6.678821879382889
Bishoujo Senshi Sailor Moon R,1544,6.504533678756476
Bishoujo Senshi Sailor Moon S,1364,6.650293255131965
Black Bullet,3004,7.068242343541944
Black Cat,1601,7.198001249219238
Black Lagoon,4324,7.756244218316374
Black Lagoon: The Second Barrage,3072,7.921223958333333
BlackâRock Shooter (OVA),2805,6.622103386809269
BlackâRock Shooter (TV),2663,6.7882087870822385
Bleach,3793,7.886105984708674
Bleach Movie 1: Memories of Nobody,3268,6.791003671970624
Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,2649,6.773876934692336
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,1977,6.887708649468892
Bleach Movie 4: Jigoku-hen,1135,6.9268722466960355
Blood Lad,2201,7.035892776010904
Blood+,2407,7.567095970087245
Blood: The Last Vampire,1413,6.2399150743099785
Boku dake ga Inai Machi,2939,8.058863559033686
Boku no Hero Academia,1467,7.294478527607362
Bokura ga Ita,1726,7.202780996523754
Bokura wa Minna Kawaisou,1288,7.385869565217392
Btooom!,3839,7.325345141964053
Byousoku 5 Centimeter,6086,7.689122576404864
C: The Money of Soul and Possibility Control,1289,7.229635376260667
Cardcaptor Sakura,2644,7.566187594553707
Charlotte,2139,7.4628330995792425
Chrno Crusade,1715,7.461807580174927
Chuunibyou demo Koi ga Shitai!,5135,7.5688412852969815
Chuunibyou demo Koi ga Shitai! Ren,2168,7.1194649446494465
Clannad,9536,8.063338926174497
Clannad Movie,1657,6.782136391068195
Clannad: After Story,7578,8.692926893639482
Claymore,4359,7.65404909382886
Code Geass: Hangyaku no Lelouch,12184,8.418253447143796
Code Geass: Hangyaku no Lelouch R2,10101,8.588060588060587
Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,1870,6.607486631016043
Cowboy Bebop,6663,8.470508779828906
Cowboy Bebop: Tengoku no Tobira,2742,7.743253099927061
D.Gray-man,2354,7.839847068819031
D.N.Angel,2074,6.919961427193829
Dance in the Vampire Bund,1186,6.8035413153457
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,3609,6.9520642837351065
Danshi Koukousei no Nichijou,2477,7.846588615260396
Darker than Black: Kuro no Keiyakusha,5554,7.8642419877565715
Darker than Black: Ryuusei no Gemini,2879,7.185133726988537
Deadman Wonderland,6530,7.103062787136294
Deadman Wonderland OVA,1265,6.194466403162055
Death Note,20583,8.348297138415196
Death Parade,3581,7.969003071767663
Denpa Onna to Seishun Otoko,1252,6.98961661341853
Detroit Metal City,1524,7.794619422572178
Devil May Cry,2833,6.917402047299682
Digimon Adventure,2903,6.950051670685498
Digimon Adventure 02,1823,6.548546352166758
Digimon Adventure Movie,1141,6.484662576687117
Digimon Tamers,1261,6.846153846153846
Dragon Ball,4654,7.486678126342931
Dragon Ball GT,3377,6.302339354456619
Dragon Ball Z,6102,7.6342182890855455
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,2697,7.278457545420838
Durarara!!,7105,7.927797325826883
Durarara!!x2 Shou,1213,7.283594394064304
Elfen Lied,13350,7.598876404494382
Ergo Proxy,2788,7.854375896700144
Eureka Seven,2227,7.977099236641221
Evangelion: 1.0 You Are (Not) Alone,3487,7.469171207341554
Evangelion: 2.0 You Can (Not) Advance,2938,7.758679373723622
Evangelion: 3.0 You Can (Not) Redo,1643,6.962872793670115
FLCL,5707,7.587173646399159
Fairy Tail,4076,8.003434739941119
Fate/Zero,4746,7.941635061104088
Fate/Zero 2nd Season,3777,8.147736298649722
Fate/stay night,4688,7.324018771331058
Fate/stay night: Unlimited Blade Works,2084,7.8973128598848366
Fate/stay night: Unlimited Blade Works 2nd Season,1530,7.9032679738562095
Final Fantasy VII: Advent Children,3745,7.369025367156208
Final Fantasy VII: Advent Children Complete,1464,7.262978142076503
Final Fantasy: The Spirits Within,1474,6.059701492537314
Free!,4088,7.095645792563601
Free!: Eternal Summer,1752,7.090182648401827
Fruits Basket,5220,7.386590038314176
Full Metal Panic!,3573,7.403302546879373
Full Metal Panic! The Second Raid,2208,7.613677536231884
Full Metal Panic? Fumoffu,2843,7.8125219838199085
Fullmetal Alchemist,11162,7.94803798602401
