,rating,rating
,size,mean
name,,
&quot Bungaku Shoujo&quot Kyou no Oyatsu: Hatsukoi,108,6.148148148148148
&quotBungaku Shoujo&quot Memoire,109,6.467889908256881
&quotBungaku Shoujo&quot Movie,260,6.930769230769231
.hack//G.U. Returner,134,6.149253731343284
.hack//G.U. Trilogy,220,6.4363636363636365
.hack//Gift,190,5.9
.hack//Liminality,289,6.155709342560554
.hack//Quantum,287,6.7630662020905925
.hack//Roots,447,6.785234899328859
.hack//Sign,1255,6.945816733067729
.hack//Tasogare no Udewa Densetsu,621,6.449275362318841
07-Ghost,1298,7.238828967642527
12-sai.: Chicchana Mune no Tokimeki,11,6.2727272727272725
3x3 Eyes,170,6.0588235294117645
91 Days,312,7.2756410256410255
A-Channel,531,6.357815442561205
A-Channel+smile,96,6.53125
AKB0048,299,7.404682274247492
AKB0048: Next Stage,187,7.304812834224599
Aa! Megami-sama!,528,6.632575757575758
Aa! Megami-sama! (2011),47,6.340425531914893
Aa! Megami-sama! (TV),1271,7.082612116443745
Aa! Megami-sama! Movie,514,6.902723735408561
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,142,6.147887323943662
Aa! Megami-sama!: Sorezore no Tsubasa,534,7.209737827715355
Accel World,3325,7.3702255639097745
Accel World EX,600,6.665
Accel World: InfiniteâBurst,10,5.5
Acchi Kocchi (TV),1175,7.113191489361702
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,37,5.405405405405405
Afro Samurai,2343,7.038412291933419
Afro Samurai Movie,220,7.0590909090909095
Afro Samurai: Resurrection,904,6.982300884955753
After War Gundam X,123,6.796747967479675
Ai Tenchi Muyou!,28,5.785714285714286
Aikatsu!,10,6.8
Air,3181,7.2719270669600755
Air Master,161,6.888198757763975
Air Movie,726,6.871900826446281
Aishiteruze Babyââ,803,7.006226650062266
Aiura,322,6.099378881987578
Ajin,588,7.0017006802721085
Ajin Part 1: Shoudou,66,6.363636363636363
Akagami no Shirayuki-hime,727,7.145804676753783
Akagami no Shirayuki-hime 2nd Season,262,7.416030534351145
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",78,6.410256410256411
Akame ga Kill!,4629,7.51198963058976
Akane Maniax,134,5.388059701492537
Akatsuki no Yona,1329,7.705041384499624
Akira,4151,7.580342086244278
Aku no Hana,622,7.062700964630225
Akuma no Riddle,1061,6.58435438265787
