name,size
&quot;Bungaku Shoujo&quot; Kyou no Oyatsu: Hatsukoi,False
&quot;Bungaku Shoujo&quot; Memoire,False
&quot;Bungaku Shoujo&quot; Movie,False
.hack//G.U. Returner,False
.hack//G.U. Trilogy,False
.hack//Gift,False
.hack//Liminality,False
.hack//Quantum,False
.hack//Roots,False
.hack//Sign,True
.hack//Tasogare no Udewa Densetsu,False
07-Ghost,True
12-sai.: Chicchana Mune no Tokimeki,False
3x3 Eyes,False
91 Days,False
A-Channel,False
A-Channel+smile,False
AKB0048,False
AKB0048: Next Stage,False
Aa! Megami-sama!,False
Aa! Megami-sama! (2011),False
Aa! Megami-sama! (TV),True
Aa! Megami-sama! Movie,False
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,False
Aa! Megami-sama!: Sorezore no Tsubasa,False
Accel World,True
Accel World EX,False
Accel World: InfiniteâBurst,False
Acchi Kocchi (TV),True
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,False
Afro Samurai,True
Afro Samurai Movie,False
Afro Samurai: Resurrection,False
After War Gundam X,False
Ai Tenchi Muyou!,False
Aikatsu!,False
Air,True
Air Master,False
Air Movie,False
Aishiteruze Babyââ,False
Aiura,False
Ajin,False
Ajin Part 1: Shoudou,False
Akagami no Shirayuki-hime,False
Akagami no Shirayuki-hime 2nd Season,False
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",False
Akame ga Kill!,True
Akane Maniax,False
Akatsuki no Yona,True
Akira,True
Aku no Hana,False
Akuma no Riddle,False
Aldnoah.Zero,True
Aldnoah.Zero 2nd Season,True
Alien 9,False
Allison to Lillia,False
Amaama to Inazuma,False
Amagami SS,True
Amagami SS OVA,False
Amagami SS+ Plus,False
Amagi Brilliant Park,True
Amanchu!,False
Amatsuki,False
Ame-iro Cocoa,False
Amnesia,True
Amnesia OVA,False
Ange Vierge,False
Angel Beats!,True
Angel&#039;s Feather,False
Anitore! EX,False
Anne Happyâª,False
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,True
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,False
Ano Natsu de Matteru,True
Another,True
Another: The Other - Inga,True
Ansatsu Kyoushitsu (TV),True
Ansatsu Kyoushitsu (TV) 2nd Season,False
Ansatsu Kyoushitsu: 365-nichi no Jikan,False
Ao Haru Ride,True
Ao Haru Ride OVA,False
Ao no 6-gou,False
Ao no Exorcist,True
Ao no Exorcist Movie,True
Ao no Kanata no Four Rhythm,False
Aoharu x Kikanjuu,False
Aoi Bungaku Series,False
Aoi Hana,False
Aoki Hagane no Arpeggio: Ars Nova,False
Appleseed,False
Appleseed (Movie),False
Appleseed Saga Ex Machina,False
Aquarion Evol,False
Arakawa Under the Bridge,True
Arakawa Under the Bridge x Bridge,False
Arata Kangatari,False
Arata naru Sekai: World&#039;s/Start/Load/End,False
Arcana Famiglia: Capriccio - stile Arcana Famiglia,False
Area no Kishi,False
Argento Soma,False
Aria The Animation,False
Aria The Natural,False
Aria The OVA: Arietta,False
